Episode,Avg_Waiting_Time,Avg_Queue_Length,Throughput,Total_Violations,Phase_Violations,Duration_Violations,Actual_Violations
356,261.22,65.6,6.4583,475,475,0,0
357,190.16,68.8,11.925,480,480,0,0
358,195.46,72.4,6.6556,550,550,0,0
359,223.18,57.67,13.1613,266,266,0,0
360,252.15,70.67,10.4333,435,435,0,0
361,333.4,43.73,26.2556,165,165,0,0
362,287.0,42.2,26.3056,375,375,0,0
363,293.93,68.47,0.9889,1060,1060,0,0
364,158.93,64.33,10.2056,515,515,0,0
365,166.87,53.67,15.4677,384,384,0,0
366,321.5,43.73,26.2583,40,40,0,0
367,183.62,72.27,11.1639,280,280,0,0
368,328.9,56.13,13.3111,700,700,0,0
369,217.81,58.27,15.3861,275,275,0,0
370,185.68,68.47,12.9972,400,400,0,0
371,163.48,41.6,26.504,108,108,0,0
372,180.82,68.87,12.2861,400,400,0,0
373,234.39,70.53,6.3861,280,280,0,0
374,261.37,70.53,2.125,790,790,0,0
375,324.92,57.67,13.3417,465,465,0,0
376,214.44,58.33,18.4139,685,685,0,0
377,151.65,55.6,15.5806,288,288,0,0
378,317.75,43.73,26.2556,130,130,0,0
379,202.04,70.13,8.6639,870,870,0,0
380,229.72,54.0,22.7139,300,300,0,0
381,321.61,42.2,26.2556,480,480,0,0
382,221.53,71.33,6.9583,1035,1035,0,0
383,157.51,64.33,10.1129,170,170,0,0
384,314.38,59.2,13.25,360,360,0,0
385,313.39,42.2,26.2556,425,425,0,0
386,224.22,55.93,17.525,385,385,0,0
387,304.1,42.2,26.2556,585,585,0,0
388,298.88,57.67,13.5611,610,610,0,0
389,143.73,40.87,26.8427,180,180,0,0
390,232.7,71.0,2.2778,795,795,0,0
391,323.32,43.73,26.2556,15,15,0,0
392,167.64,57.67,15.6472,390,390,0,0
393,293.44,55.8,8.4278,765,765,0,0
394,329.66,57.07,13.2167,400,400,0,0
395,173.63,54.53,13.3831,418,418,0,0
396,316.59,54.93,13.4056,95,95,0,0
397,207.36,68.0,6.75,445,445,0,0
398,308.55,57.67,13.2667,760,760,0,0
399,265.58,61.0,14.0222,425,425,0,0
400,318.85,42.2,26.2556,455,455,0,0
401,228.81,41.0,26.0645,65,65,0,0
402,223.32,56.13,15.1056,465,465,0,0
403,301.97,59.2,10.25,315,315,0,0
404,188.96,69.73,5.2139,775,775,0,0
405,247.33,54.93,14.0556,300,300,0,0
